Total_Fare,Airways,Duration,Hopping,Taken_Day,Dept_Day,Days_To_Dept,Session,FlightGroup
3579.0,2,170,0,4,6,15,1,7
3690.0,3,155,0,4,6,15,1,11
3690.0,3,180,0,4,6,15,0,10
3723.0,6,160,0,4,6,15,2,22
3723.0,6,160,0,4,6,15,1,21
3723.0,6,175,0,4,6,15,1,21
3784.0,1,160,0,4,6,15,3,5
3784.0,1,165,0,4,6,15,1,4
3873.0,5,170,0,4,6,15,3,16
3873.0,5,170,0,4,6,15,1,14
3873.0,5,175,0,4,6,15,2,15
3900.0,3,170,0,4,6,15,0,10
3900.0,3,175,0,4,6,15,2,12
3925.0,4,170,0,4,6,15,3,20
3925.0,2,170,0,4,6,15,0,6
3925.0,4,170,0,4,6,15,1,18
3925.0,2,175,0,4,6,15,2,8
3925.0,4,175,0,4,6,15,2,19
3925.0,2,175,0,4,6,15,2,8
3925.0,2,175,0,4,6,15,1,7
3925.0,2,175,0,4,6,15,1,7
3925.0,2,180,0,4,6,15,2,8
4011.0,2,285,0,4,6,15,0,6
4049.0,2,260,0,4,6,15,0,6
4143.0,6,160,0,4,6,15,2,22
4143.0,6,165,0,4,6,15,2,22
4417.0,4,485,0,4,6,15,0,17
4530.0,3,165,0,4,6,15,2,12
4530.0,3,180,0,4,6,15,0,10
4573.0,2,285,0,4,6,15,3,9
4644.0,2,165,0,4,6,15,3,9
4644.0,2,175,0,4,6,15,0,6
4696.0,2,245,0,4,6,15,2,8
4756.0,0,165,0,4,6,15,3,3
4756.0,0,165,0,4,6,15,2,2
4756.0,0,165,0,4,6,15,0,0
4756.0,0,170,0,4,6,15,0,0
